               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078852,            0.034152,            0.019498,             0.74774,             0.17251,             0.17043,            0.079205,            0.061472,            0.028719,             0.01344,            0.003299,            0.003299,            0.070309
                   1,            0.063146,            0.028636,            0.011022,             0.81268,             0.17544,             0.24228,            0.061781,            0.065369,            0.023301,            0.011307,           0.0065666,           0.0065666,            0.040244
                   2,            0.054701,            0.024206,           0.0047094,             0.37593,             0.55695,             0.41551,             0.16648,            0.053584,            0.023802,           0.0047205,           0.0097683,           0.0097683,            0.010112
                   3,            0.045718,            0.021422,           0.0033386,             0.60554,             0.63649,             0.63877,             0.25368,            0.038223,            0.021842,           0.0063968,            0.009703,            0.009703,            0.009703
                   4,            0.038437,             0.01974,           0.0024628,             0.74862,             0.79339,             0.83347,             0.40237,            0.033478,             0.01773,           0.0024932,            0.009703,            0.009703,            0.009703
                   5,            0.034113,            0.019013,           0.0020555,             0.81856,             0.84242,             0.89017,             0.51826,            0.028905,            0.016384,           0.0012602,            0.009604,            0.009604,            0.009604
                   6,            0.032733,            0.017797,           0.0017832,             0.91861,             0.80752,             0.92535,             0.51652,            0.030235,            0.015671,           0.0013614,            0.009505,            0.009505,            0.009505
                   7,            0.030293,             0.01688,           0.0015907,             0.89446,             0.89379,              0.9378,             0.55852,            0.026199,            0.015572,           0.0009537,            0.009406,            0.009406,            0.009406
                   8,            0.028768,            0.016168,           0.0013286,             0.94813,               0.917,             0.95898,              0.5857,            0.024495,            0.014486,          0.00083885,            0.009307,            0.009307,            0.009307
                   9,            0.028288,            0.016003,           0.0012339,             0.91446,             0.86217,             0.94126,             0.58258,            0.025286,             0.01511,           0.0013408,            0.009208,            0.009208,            0.009208
                  10,            0.026747,            0.016071,            0.001192,             0.90993,             0.89102,             0.95467,             0.61202,            0.025328,            0.014612,          0.00070251,            0.009109,            0.009109,            0.009109
                  11,            0.026131,            0.015547,           0.0010418,             0.94299,             0.91423,             0.96229,             0.59544,            0.024113,            0.014119,          0.00068015,             0.00901,             0.00901,             0.00901
                  12,            0.025734,             0.01511,           0.0011326,             0.94409,             0.91072,             0.96722,             0.62399,            0.023381,            0.013657,          0.00058495,            0.008911,            0.008911,            0.008911
                  13,            0.024896,             0.01501,           0.0013897,             0.97838,             0.89466,             0.96148,             0.65694,            0.021089,            0.013246,           0.0006626,            0.008812,            0.008812,            0.008812
                  14,            0.023814,            0.014463,           0.0010278,              0.9621,             0.94108,              0.9788,             0.65342,            0.020944,            0.012924,          0.00067339,            0.008713,            0.008713,            0.008713
                  15,            0.023442,            0.013803,          0.00092562,             0.94994,               0.956,             0.97672,             0.66755,            0.019983,            0.012842,          0.00053751,            0.008614,            0.008614,            0.008614
                  16,            0.023138,            0.013846,          0.00099949,             0.95065,             0.96444,             0.98369,             0.68135,            0.020528,            0.013205,          0.00053432,            0.008515,            0.008515,            0.008515
                  17,            0.022337,            0.013673,          0.00088224,             0.97503,             0.94785,             0.98471,             0.71246,              0.0188,            0.012587,          0.00051871,            0.008416,            0.008416,            0.008416
                  18,            0.021949,            0.013069,          0.00085372,             0.94998,             0.93283,             0.97725,             0.69845,            0.018997,            0.012976,          0.00073407,            0.008317,            0.008317,            0.008317
                  19,            0.021405,            0.013251,          0.00078901,             0.94568,             0.93154,             0.98027,             0.67702,            0.020328,            0.012463,          0.00046022,            0.008218,            0.008218,            0.008218
                  20,            0.021402,             0.01314,          0.00080245,              0.9504,             0.94699,             0.97607,             0.70641,             0.01996,            0.011963,          0.00061047,            0.008119,            0.008119,            0.008119
                  21,            0.021311,            0.013152,          0.00089102,             0.93235,             0.96557,             0.98097,             0.68945,            0.019721,             0.01203,          0.00044509,             0.00802,             0.00802,             0.00802
                  22,            0.020795,            0.012865,          0.00074465,             0.96835,             0.94599,             0.98404,             0.71229,            0.018562,            0.011666,           0.0005033,            0.007921,            0.007921,            0.007921
                  23,             0.02049,            0.012711,          0.00061119,             0.92947,             0.95493,             0.97966,             0.72098,            0.018835,            0.012508,          0.00044558,            0.007822,            0.007822,            0.007822
                  24,            0.020208,            0.012745,          0.00063934,             0.90361,              0.9762,             0.97442,             0.71381,            0.018183,            0.011533,          0.00052115,            0.007723,            0.007723,            0.007723
                  25,            0.020009,            0.012272,          0.00059288,             0.96392,             0.96264,             0.98822,             0.74254,            0.017443,            0.011351,          0.00058851,            0.007624,            0.007624,            0.007624
                  26,             0.01946,            0.012207,          0.00072228,              0.9598,             0.96142,             0.98581,             0.74289,            0.016813,            0.011124,          0.00043868,            0.007525,            0.007525,            0.007525
                  27,            0.019146,             0.01233,          0.00068875,             0.96768,             0.94255,             0.98687,             0.71671,            0.017652,            0.010874,          0.00032634,            0.007426,            0.007426,            0.007426
                  28,            0.019144,            0.012118,          0.00069528,             0.93225,             0.97608,             0.98449,             0.73995,            0.017623,            0.011475,          0.00040321,            0.007327,            0.007327,            0.007327
                  29,            0.018932,            0.012056,          0.00051649,             0.96132,             0.96451,             0.98672,              0.7222,            0.017615,            0.011817,          0.00072036,            0.007228,            0.007228,            0.007228
                  30,            0.018559,            0.011744,          0.00069657,             0.99255,             0.96185,             0.99046,              0.7477,            0.016766,            0.010824,          0.00036589,            0.007129,            0.007129,            0.007129
                  31,            0.018085,            0.011718,          0.00052561,             0.97128,             0.96909,             0.98775,             0.73848,            0.016507,            0.011336,          0.00034182,             0.00703,             0.00703,             0.00703
